TRACTFIPS,STATE,COUNTY,POPULATION,RISK_SCORE,RISK_RATNG,hurricane_risk,flood_risk,tornado_risk,my_risk_score,my_risk_rating,RPL_THEMES
22103040805,Louisiana,St. Tammany,4656,99.3352518670028,Very High,382251.1510073031,595744.2025021669,22.155099400425094,99.9698491006846,Very High,0.2573
22103040806,Louisiana,St. Tammany,6939,98.55634305284688,Very High,659440.7548998403,324949.1223206034,125.33822563380382,99.96984771745781,Very High,0.8468
22103040807,Louisiana,St. Tammany,5191,99.88108262379299,Very High,852855.4939312187,1185901.3314286585,801.2593501373158,99.97012589559912,Very High,0.7273
22103040900,Louisiana,St. Tammany,3529,99.42087237787185,Very High,410523.24272134894,241516.48054899104,50.30422486714525,99.96991462236011,Very High,0.9604
22103041002,Louisiana,St. Tammany,2703,94.54169243209816,Relatively High,360517.74387291743,20.549846008985224,26.905766549927993,99.96978307777891,Very High,0.239
22103041003,Louisiana,St. Tammany,5738,87.02611425581506,Relatively High,414562.1010170261,0.0,37.82987084643593,99.96973109239883,Relatively Moderate,0.2097
22103041004,Louisiana,St. Tammany,4517,97.07820006659372,Relatively High,413779.1612874901,0.0,38.28428035491273,99.96975865939773,Relatively High,0.4047
22103041101,Louisiana,St. Tammany,3886,89.66845835513485,Relatively High,193968.0965181341,160201.5241401058,41.170259570536544,99.9697492061502,Relatively High,0.2566
22103041103,Louisiana,St. Tammany,3440,98.32326499548114,Very High,324380.821366245,36207.27886607609,66.12934400454992,99.96980359756655,Very High,0.8695
22103041104,Louisiana,St. Tammany,3188,97.9344051752842,Very High,281959.4616126779,1194306.5677212328,110.78884949540515,99.97017784866708,Very High,0.6334
22103041105,Louisiana,St. Tammany,5659,98.02834990248776,Very High,310164.4539670632,238569.7326487052,54.79020405817502,99.9697701968007,Relatively High,0.5051
22103041106,Louisiana,St. Tammany,1272,86.68244303857678,Relatively High,66826.078264848,596967.8152168859,8.715159408527539,99.97016379538965,Very High,0.4098
22103041202,Louisiana,St. Tammany,2320,93.9197545545355,Relatively High,181564.8985162506,850206.8408732027,280.51541831566743,99.97018180085526,Very High,0.7141
22103041207,Louisiana,St. Tammany,4472,88.83960424297199,Relatively High,345786.7311655687,4.5545992295816555,119.41998523310657,99.96974345169343,Relatively High,0.3695
22103041208,Louisiana,St. Tammany,4294,88.7361461256719,Relatively High,504556.16265380406,0.4274778936709294,59.420686962709894,99.96975131367395,Relatively High,0.0015
22103041209,Louisiana,St. Tammany,5124,96.92717499881081,Relatively High,976540.9898244897,0.027820700872834444,121.4674308543271,99.96983426562545,Very High,0.2691
22103041210,Louisiana,St. Tammany,2991,90.3902868287114,Relatively High,401365.9413876876,0.0,81.4870990269438,99.96978381907587,Very High,0.2397
22103041211,Louisiana,St. Tammany,6567,90.14412785996288,Relatively High,437421.1488931017,9234.346363790033,73.5641346772788,99.9697264756696,Relatively Moderate,0.1833
22103041212,Louisiana,St. Tammany,3738,81.76045283736859,Relatively Moderate,390856.1022606209,62817.63191839183,247.58101225800525,99.96975705951822,Relatively High,0.0403
22103041213,Louisiana,St. Tammany,5582,94.69866336869144,Relatively High,355002.88467922615,66503.91671249845,392.15450757108664,99.9697461820621,Relatively High,0.456
22103041214,Louisiana,St. Tammany,3451,83.63934738143939,Relatively Moderate,184126.23817978209,7386.1211726113215,81.56708960138894,99.96972603531914,Relatively Moderate,0.4384
22103041301,Louisiana,St. Tammany,3934,94.05532036341148,Relatively High,595430.9640967696,123149.305706283,76.7983072630726,99.9698176942593,Very High,0.1884
22103041302,Louisiana,St. Tammany,2805,91.87913237882319,Relatively High,728290.9375094185,514639.2492293174,46.31627185115874,99.96998489674743,Very High,0.055
22105953200,Louisiana,Tangipahoa,2675,76.70884269609475,Relatively Moderate,84543.56668957238,0.0,2274.0318324929226,99.9696994367955,Relatively Low,0.2493
22105953300,Louisiana,Tangipahoa,3775,98.1972125767017,Very High,306132.42710804055,0.0,5815.272186245191,99.9697796937628,Relatively High,0.9567
22105953401,Louisiana,Tangipahoa,2974,91.23697854730534,Relatively High,237150.80247501197,0.0,706.1356229920997,99.96976287540687,Relatively High,0.6906
22105953402,Louisiana,Tangipahoa,3044,90.34866574703896,Relatively High,337900.74808239087,0.0,305.85572435115887,99.96976656132833,Relatively High,0.2654
22105953501,Louisiana,Tangipahoa,4043,90.30347714408029,Relatively High,254127.46096324216,0.0,3539.568961169372,99.96973881914386,Relatively Moderate,0.5638
22105953502,Louisiana,Tangipahoa,3453,89.738619607097,Relatively High,254294.03097323372,0.0,3236.8386414585593,99.96975207522438,Relatively High,0.6034
22105953601,Louisiana,Tangipahoa,2044,85.72991485515864,Relatively High,237905.27997402239,0.0,162.4187489692959,99.96978756154658,Very High,0.4773
22105953602,Louisiana,Tangipahoa,3475,94.18375112971508,Relatively High,214591.1027614326,0.0,655.6642700238256,99.96974984105039,Relatively High,0.8673
22105953701,Louisiana,Tangipahoa,5775,91.17276316415357,Relatively High,398159.677248217,0.0,2689.580584971212,99.96972420589209,Relatively Moderate,0.1144
22105953702,Louisiana,Tangipahoa,6271,94.48104457023261,Relatively High,567521.2121295116,44.10834138520733,8956.566599956379,99.96974356187263,Relatively High,0.1628
22105953800,Louisiana,Tangipahoa,4820,98.51472197117441,Very High,416869.2443885286,0.0,1537.8159587901714,99.9697616845209,Relatively High,0.5374
22105953901,Louisiana,Tangipahoa,4703,97.05441659135232,Relatively High,292979.2220834173,0.0,322.6365654127687,99.96975218974931,Relatively High,0.9091
22105953902,Louisiana,Tangipahoa,5135,86.92027779099081,Relatively High,250242.43279352688,3.5849896918162423,401.38913111413916,99.96971235907141,Relatively Moderate,0.217
22105954001,Louisiana,Tangipahoa,4199,97.94986443419111,Very High,238015.8857166016,0.0,211.79445255174767,99.96974460382962,Relatively High,0.8981
22105954003,Louisiana,Tangipahoa,3055,96.4027493697379,Relatively High,615309.0135610361,29.105890372255306,1145.1899995364647,99.96984998701429,Very High,0.3167
22105954004,Louisiana,Tangipahoa,3270,91.54497455168148,Relatively High,173200.9452664456,0.0,241.18938060180676,99.96973824171643,Relatively Moderate,0.8512
22105954103,Louisiana,Tangipahoa,4243,97.31722399276983,Very High,466791.2611622945,109.89677419285806,563.9714717502477,99.96978954217471,Very High,0.5887
22105954104,Louisiana,Tangipahoa,1719,95.64524568329924,Relatively High,263294.1241121374,0.0,84.24405281698031,99.96984704341223,Very High,0.7045
22105954105,Louisiana,Tangipahoa,4973,94.52742234695334,Relatively High,362881.5326192118,25.225152008406532,364.30930350088926,99.96975083003285,Relatively High,0.6019
22105954106,Louisiana,Tangipahoa,5787,96.59063882414496,Relatively High,462167.56194154406,32.62499044380099,454.4024139331552,99.96974635665035,Relatively High,0.3798
22105954200,Louisiana,Tangipahoa,4683,99.87275840745848,Very High,856769.7031787585,0.0,209.58368409951922,99.96985126883719,Very High,0.4611
22105954300,Louisiana,Tangipahoa,3782,97.22327926556628,Very High,456974.2623387596,0.0,151.01843845986227,99.96982389719868,Very High,0.8732
22105954400,Louisiana,Tangipahoa,3696,96.93787756266944,Relatively High,335926.4129154202,0.0,91.42958620705625,99.9697853642977,Very High,0.8556
22105954503,Louisiana,Tangipahoa,3847,97.28987299624221,Very High,474783.3200929588,2.6406248913862487,283.90443921533625,99.9698335634287,Very High,0.9509
